-----Attacking Parameters:-----
Test folder:     /home/jonah/neuralnets/GTSRB_resnet/Test
Model prediction was class     4 with 90.588015% confidence

Model Confidence in true class 4:     90.588015%
Model prediction was class     4 with 90.588015% confidence

Model Confidence in true class 4:     79.117280%
Model prediction was class     4 with 79.117280% confidence

Model Confidence in true class 4:     79.117280%
Model prediction was class     4 with 79.117280% confidence

Model Confidence in true class 4:     79.117280%
Model prediction was class     4 with 79.117280% confidence

Model Confidence in true class 4:     79.117280%
Model prediction was class     4 with 79.117280% confidence

Model Confidence in true class 4:     79.117280%
Model prediction was class     4 with 79.117280% confidence

Reached max iterations, attack unsuccessful on image 06359.png

---------------Testing image 01580.png---------------
Prior Model Confidence in true class 6:     99.958569% (before attack)
Prior Model prediction was class     6 with 99.958569% confidence (before attack)

Model Confidence in true class 6:     99.543899%
Model prediction was class     6 with 99.543899% confidence

Model Confidence in true class 6:     99.543899%
Model prediction was class     6 with 99.543899% confidence

Model Confidence in true class 6:     99.293411%
Model prediction was class     6 with 99.293411% confidence

Model Confidence in true class 6:     99.275267%
Model prediction was class     6 with 99.275267% confidence

Model Confidence in true class 6:     99.275267%
Model prediction was class     6 with 99.275267% confidence

Model Confidence in true class 6:     99.275267%
Model prediction was class     6 with 99.275267% confidence

Model Confidence in true class 6:     99.154377%
Model prediction was class     6 with 99.154377% confidence

Model Confidence in true class 6:     97.422171%
Model prediction was class     6 with 97.422171% confidence

Model Confidence in true class 6:     97.422171%
Model prediction was class     6 with 97.422171% confidence

Model Confidence in true class 6:     97.422171%
Model prediction was class     6 with 97.422171% confidence

Model Confidence in true class 6:     97.422171%
Model prediction was class     6 with 97.422171% confidence

Model Confidence in true class 6:     97.422171%
Model prediction was class     6 with 97.422171% confidence

Model Confidence in true class 6:     97.422171%
Model prediction was class     6 with 97.422171% confidence

Model Confidence in true class 6:     97.422171%
Model prediction was class     6 with 97.422171% confidence

Model Confidence in true class 6:     97.422171%
Model prediction was class     6 with 97.422171% confidence

Model Confidence in true class 6:     97.422171%
Model prediction was class     6 with 97.422171% confidence

Model Confidence in true class 6:     97.422171%
Model prediction was class     6 with 97.422171% confidence

Model Confidence in true class 6:     96.602058%
Model prediction was class     6 with 96.602058% confidence

Model Confidence in true class 6:     96.602058%
Model prediction was class     6 with 96.602058% confidence

Model Confidence in true class 6:     96.602058%
Model prediction was class     6 with 96.602058% confidence

Reached max iterations, attack unsuccessful on image 01580.png

---------------Testing image 03750.png---------------
Prior Model Confidence in true class 35:     99.990308% (before attack)
Prior Model prediction was class     35 with 99.990308% confidence (before attack)

Model Confidence in true class 35:     99.951267%
Model prediction was class     35 with 99.951267% confidence

Model Confidence in true class 35:     99.951267%
Model prediction was class     35 with 99.951267% confidence

Model Confidence in true class 35:     99.951267%
Model prediction was class     35 with 99.951267% confidence

Model Confidence in true class 35:     99.951267%
Model prediction was class     35 with 99.951267% confidence

Model Confidence in true class 35:     99.951267%
Model prediction was class     35 with 99.951267% confidence

Model Confidence in true class 35:     99.951267%
Model prediction was class     35 with 99.951267% confidence

Model Confidence in true class 35:     99.951267%
Model prediction was class     35 with 99.951267% confidence

Model Confidence in true class 35:     99.920940%
Model prediction was class     35 with 99.920940% confidence

Model Confidence in true class 35:     99.920940%
Model prediction was class     35 with 99.920940% confidence

Model Confidence in true class 35:     99.920940%
Model prediction was class     35 with 99.920940% confidence

Model Confidence in true class 35:     99.920940%
Model prediction was class     35 with 99.920940% confidence

Model Confidence in true class 35:     99.920940%
Model prediction was class     35 with 99.920940% confidence

Model Confidence in true class 35:     99.920940%
Model prediction was class     35 with 99.920940% confidence

Model Confidence in true class 35:     99.920940%
Model prediction was class     35 with 99.920940% confidence

Model Confidence in true class 35:     99.920940%
Model prediction was class     35 with 99.920940% confidence

Model Confidence in true class 35:     99.920940%
Model prediction was class     35 with 99.920940% confidence

Model Confidence in true class 35:     99.920940%
Model prediction was class     35 with 99.920940% confidence

Model Confidence in true class 35:     99.912399%
Model prediction was class     35 with 99.912399% confidence

Model Confidence in true class 35:     99.912399%
Model prediction was class     35 with 99.912399% confidence

Model Confidence in true class 35:     99.912399%
Model prediction was class     35 with 99.912399% confidence

Reached max iterations, attack unsuccessful on image 03750.png

---------------Testing image 03125.png---------------
Prior Model Confidence in true class 7:     79.179835% (before attack)
Prior Model prediction was class     7 with 79.179835% confidence (before attack)

Model Confidence in true class 7:     61.339712%
Model prediction was class     7 with 61.339712% confidence

Model Confidence in true class 7:     60.216475%
Model prediction was class     7 with 60.216475% confidence

Model Confidence in true class 7:     60.216475%
Model prediction was class     7 with 60.216475% confidence

Model Confidence in true class 7:     60.216475%
Model prediction was class     7 with 60.216475% confidence

Model Confidence in true class 7:     60.216475%
Model prediction was class     7 with 60.216475% confidence

Model Confidence in true class 7:     60.216475%
Model prediction was class     7 with 60.216475% confidence

Model Confidence in true class 7:     57.759017%
Model prediction was class     7 with 57.759017% confidence

Model Confidence in true class 7:     57.759017%
Model prediction was class     7 with 57.759017% confidence

Model Confidence in true class 7:     57.759017%
Model prediction was class     7 with 57.759017% confidence

Model Confidence in true class 7:     57.759017%
Model prediction was class     7 with 57.759017% confidence

Model Confidence in true class 7:     56.144464%
Model prediction was class     7 with 56.144464% confidence

Model Confidence in true class 7:     56.144464%
Model prediction was class     7 with 56.144464% confidence

Model Confidence in true class 7:     56.144464%
Model prediction was class     7 with 56.144464% confidence

Model Confidence in true class 7:     56.144464%
Model prediction was class     7 with 56.144464% confidence

Model Confidence in true class 7:     56.144464%
Model prediction was class     7 with 56.144464% confidence

Model Confidence in true class 7:     56.144464%
Model prediction was class     7 with 56.144464% confidence

Model Confidence in true class 7:     56.144464%
Model prediction was class     7 with 56.144464% confidence

Model Confidence in true class 7:     56.144464%
Model prediction was class     7 with 56.144464% confidence

Model Confidence in true class 7:     56.144464%
Model prediction was class     7 with 56.144464% confidence

Model Confidence in true class 7:     56.144464%
Model prediction was class     7 with 56.144464% confidence

Reached max iterations, attack unsuccessful on image 03125.png

---------------Testing image 04354.png---------------
Prior Model Confidence in true class 13:     96.898735% (before attack)
Prior Model prediction was class     13 with 96.898735% confidence (before attack)

Model Confidence in true class 13:     90.828413%
Model prediction was class     13 with 90.828413% confidence

Model Confidence in true class 13:     87.473536%
Model prediction was class     13 with 87.473536% confidence

Model Confidence in true class 13:     87.473536%
Model prediction was class     13 with 87.473536% confidence

Model Confidence in true class 13:     87.473536%
Model prediction was class     13 with 87.473536% confidence

Model Confidence in true class 13:     87.473536%
Model prediction was class     13 with 87.473536% confidence

Model Confidence in true class 13:     87.473536%
Model prediction was class     13 with 87.473536% confidence

Model Confidence in true class 13:     85.293961%
Model prediction was class     13 with 85.293961% confidence

Model Confidence in true class 13:     85.293961%
Model prediction was class     13 with 85.293961% confidence

Model Confidence in true class 13:     85.293961%
Model prediction was class     13 with 85.293961% confidence

Model Confidence in true class 13:     85.293961%
Model prediction was class     13 with 85.293961% confidence

Model Confidence in true class 13:     85.293961%
Model prediction was class     13 with 85.293961% confidence

Model Confidence in true class 13:     85.293961%
Model prediction was class     13 with 85.293961% confidence

Model Confidence in true class 13:     85.293961%
Model prediction was class     13 with 85.293961% confidence

Model Confidence in true class 13:     85.293961%
Model prediction was class     13 with 85.293961% confidence

Model Confidence in true class 13:     81.730956%
Model prediction was class     13 with 81.730956% confidence

Model Confidence in true class 13:     81.730956%
Model prediction was class     13 with 81.730956% confidence

Model Confidence in true class 13:     81.730956%
Model prediction was class     13 with 81.730956% confidence

Model Confidence in true class 13:     81.730956%
Model prediction was class     13 with 81.730956% confidence

Model Confidence in true class 13:     81.730956%
Model prediction was class     13 with 81.730956% confidence

Model Confidence in true class 13:     81.356829%
Model prediction was class     13 with 81.356829% confidence

Reached max iterations, attack unsuccessful on image 04354.png

---------------Testing image 09748.png---------------
Prior Model Confidence in true class 38:     99.581474% (before attack)
Prior Model prediction was class     38 with 99.581474% confidence (before attack)

Model Confidence in true class 38:     98.697323%
Model prediction was class     38 with 98.697323% confidence

Model Confidence in true class 38:     98.697323%
Model prediction was class     38 with 98.697323% confidence

Model Confidence in true class 38:     98.594123%
Model prediction was class     38 with 98.594123% confidence

Model Confidence in true class 38:     98.386407%
Model prediction was class     38 with 98.386407% confidence

Model Confidence in true class 38:     98.067665%
Model prediction was class     38 with 98.067665% confidence

Model Confidence in true class 38:     98.067665%
Model prediction was class     38 with 98.067665% confidence

Model Confidence in true class 38:     98.067665%
Model prediction was class     38 with 98.067665% confidence

Model Confidence in true class 38:     98.067665%
Model prediction was class     38 with 98.067665% confidence

Model Confidence in true class 38:     98.033601%
Model prediction was class     38 with 98.033601% confidence

Model Confidence in true class 38:     98.033601%
Model prediction was class     38 with 98.033601% confidence

Model Confidence in true class 38:     97.525895%
Model prediction was class     38 with 97.525895% confidence

Model Confidence in true class 38:     97.525895%
Model prediction was class     38 with 97.525895% confidence

Model Confidence in true class 38:     97.525895%
Model prediction was class     38 with 97.525895% confidence

Model Confidence in true class 38:     97.525895%
Model prediction was class     38 with 97.525895% confidence

Model Confidence in true class 38:     97.525895%
Model prediction was class     38 with 97.525895% confidence

Model Confidence in true class 38:     97.525895%
Model prediction was class     38 with 97.525895% confidence

Model Confidence in true class 38:     97.525895%
Model prediction was class     38 with 97.525895% confidence

Model Confidence in true class 38:     97.525895%
Model prediction was class     38 with 97.525895% confidence

Model Confidence in true class 38:     97.525895%
Model prediction was class     38 with 97.525895% confidence

Model Confidence in true class 38:     97.525895%
Model prediction was class     38 with 97.525895% confidence

Reached max iterations, attack unsuccessful on image 09748.png

---------------Testing image 10516.png---------------
Prior Model Confidence in true class 7:     82.898986% (before attack)
Prior Model prediction was class     7 with 82.898986% confidence (before attack)

Model Confidence in true class 7:     52.954167%
Model prediction was class     7 with 52.954167% confidence

Model Confidence in true class 7:     52.954167%
Model prediction was class     7 with 52.954167% confidence

Model Confidence in true class 7:     52.954167%
Model prediction was class     7 with 52.954167% confidence

Model Confidence in true class 7:     52.954167%
Model prediction was class     7 with 52.954167% confidence

Model Confidence in true class 7:     52.954167%
Model prediction was class     7 with 52.954167% confidence

Model Confidence in true class 7:     49.215388%
Model prediction was class     8 with 50.190002% confidence

Success on image 10516.png

---------------Testing image 02664.png---------------
Prior Model Confidence in true class 25:     99.599683% (before attack)
Prior Model prediction was class     25 with 99.599683% confidence (before attack)

Model Confidence in true class 25:     99.143398%
Model prediction was class     25 with 99.143398% confidence

Model Confidence in true class 25:     99.078709%
Model prediction was class     25 with 99.078709% confidence

Model Confidence in true class 25:     99.078709%
Model prediction was class     25 with 99.078709% confidence

Model Confidence in true class 25:     99.078709%
Model prediction was class     25 with 99.078709% confidence

Model Confidence in true class 25:     99.078709%
Model prediction was class     25 with 99.078709% confidence

Model Confidence in true class 25:     99.078709%
Model prediction was class     25 with 99.078709% confidence

Model Confidence in true class 25:     99.078709%
Model prediction was class     25 with 99.078709% confidence

Model Confidence in true class 25:     99.078709%
Model prediction was class     25 with 99.078709% confidence

Model Confidence in true class 25:     98.863322%
Model prediction was class     25 with 98.863322% confidence

Model Confidence in true class 25:     98.863322%
Model prediction was class     25 with 98.863322% confidence

Model Confidence in true class 25:     98.863322%
Model prediction was class     25 with 98.863322% confidence

Model Confidence in true class 25:     98.863322%
Model prediction was class     25 with 98.863322% confidence

Model Confidence in true class 25:     98.863322%
Model prediction was class     25 with 98.863322% confidence

Model Confidence in true class 25:     98.863322%
Model prediction was class     25 with 98.863322% confidence

Model Confidence in true class 25:     98.863322%
Model prediction was class     25 with 98.863322% confidence

Model Confidence in true class 25:     98.863322%
Model prediction was class     25 with 98.863322% confidence

Model Confidence in true class 25:     98.863322%
Model prediction was class     25 with 98.863322% confidence

Model Confidence in true class 25:     98.863322%
Model prediction was class     25 with 98.863322% confidence

Model Confidence in true class 25:     98.863322%
Model prediction was class     25 with 98.863322% confidence

Model Confidence in true class 25:     98.863322%
Model prediction was class     25 with 98.863322% confidence

Reached max iterations, attack unsuccessful on image 02664.png

20 samples tested so far
---------------Testing image 05793.png---------------
Prior Model Confidence in true class 31:     98.124605% (before attack)
Prior Model prediction was class     31 with 98.124605% confidence (before attack)

Model Confidence in true class 31:     77.666181%
Model prediction was class     31 with 77.666181% confidence

Model Confidence in true class 31:     71.558714%
Model prediction was class     31 with 71.558714% confidence

Model Confidence in true class 31:     70.271975%
Model prediction was class     31 with 70.271975% confidence

Model Confidence in true class 31:     67.876530%
Model prediction was class     31 with 67.876530% confidence

Model Confidence in true class 31:     61.144143%
Model prediction was class     31 with 61.144143% confidence

Model Confidence in true class 31:     61.144143%
Model prediction was class     31 with 61.144143% confidence

Model Confidence in true class 31:     58.886373%
Model prediction was class     31 with 58.886373% confidence

Model Confidence in true class 31:     45.016515%
Model prediction was class     31 with 45.016515% confidence

Model Confidence in true class 31:     45.016515%
Model prediction was class     31 with 45.016515% confidence

Model Confidence in true class 31:     21.665081%
Model prediction was class     25 with 66.932207% confidence

Success on image 05793.png

---------------Testing image 11368.png---------------
Prior Model Confidence in true class 5:     99.948776% (before attack)
Prior Model prediction was class     5 with 99.948776% confidence (before attack)

Model Confidence in true class 5:     99.894208%
Model prediction was class     5 with 99.894208% confidence

Model Confidence in true class 5:     99.869955%
Model prediction was class     5 with 99.869955% confidence

Model Confidence in true class 5:     99.869955%
Model prediction was class     5 with 99.869955% confidence

Model Confidence in true class 5:     99.869955%
Model prediction was class     5 with 99.869955% confidence

Model Confidence in true class 5:     99.830508%
Model prediction was class     5 with 99.830508% confidence

Model Confidence in true class 5:     99.830508%
Model prediction was class     5 with 99.830508% confidence

Model Confidence in true class 5:     99.824309%
Model prediction was class     5 with 99.824309% confidence

Model Confidence in true class 5:     99.824309%
Model prediction was class     5 with 99.824309% confidence

Model Confidence in true class 5:     99.824309%
Model prediction was class     5 with 99.824309% confidence

Model Confidence in true class 5:     99.824309%
Model prediction was class     5 with 99.824309% confidence

Model Confidence in true class 5:     99.824309%
Model prediction was class     5 with 99.824309% confidence

Model Confidence in true class 5:     99.824309%
Model prediction was class     5 with 99.824309% confidence

Model Confidence in true class 5:     99.824309%
Model prediction was class     5 with 99.824309% confidence

Model Confidence in true class 5:     99.824309%
Model prediction was class     5 with 99.824309% confidence

Model Confidence in true class 5:     99.803525%
Model prediction was class     5 with 99.803525% confidence

Model Confidence in true class 5:     99.803525%
Model prediction was class     5 with 99.803525% confidence

Model Confidence in true class 5:     99.803525%
Model prediction was class     5 with 99.803525% confidence

Model Confidence in true class 5:     99.803525%
Model prediction was class     5 with 99.803525% confidence

Model Confidence in true class 5:     99.803525%
Model prediction was class     5 with 99.803525% confidence

Model Confidence in true class 5:     99.803525%
Model prediction was class     5 with 99.803525% confidence

Reached max iterations, attack unsuccessful on image 11368.png

---------------Testing image 11139.png---------------
Prior Model Confidence in true class 17:     99.839658% (before attack)
Prior Model prediction was class     17 with 99.839658% confidence (before attack)

Model Confidence in true class 17:     99.732262%
Model prediction was class     17 with 99.732262% confidence

Model Confidence in true class 17:     99.725503%
Model prediction was class     17 with 99.725503% confidence

Model Confidence in true class 17:     99.725503%
Model prediction was class     17 with 99.725503% confidence

Model Confidence in true class 17:     99.704701%
Model prediction was class     17 with 99.704701% confidence

Model Confidence in true class 17:     99.704701%
Model prediction was class     17 with 99.704701% confidence

Model Confidence in true class 17:     99.617541%
Model prediction was class     17 with 99.617541% confidence

Model Confidence in true class 17:     99.617541%
Model prediction was class     17 with 99.617541% confidence

Model Confidence in true class 17:     99.553812%
Model prediction was class     17 with 99.553812% confidence

Model Confidence in true class 17:     99.553812%
Model prediction was class     17 with 99.553812% confidence

Model Confidence in true class 17:     99.553812%
Model prediction was class     17 with 99.553812% confidence

Model Confidence in true class 17:     99.553812%
Model prediction was class     17 with 99.553812% confidence

Model Confidence in true class 17:     99.553812%
Model prediction was class     17 with 99.553812% confidence

Model Confidence in true class 17:     99.553812%
Model prediction was class     17 with 99.553812% confidence

Model Confidence in true class 17:     99.553812%
Model prediction was class     17 with 99.553812% confidence

Model Confidence in true class 17:     99.553812%
Model prediction was class     17 with 99.553812% confidence

Model Confidence in true class 17:     99.533904%
Model prediction was class     17 with 99.533904% confidence

Model Confidence in true class 17:     99.533904%
Model prediction was class     17 with 99.533904% confidence

Model Confidence in true class 17:     99.533904%
Model prediction was class     17 with 99.533904% confidence

Model Confidence in true class 17:     99.428904%
Model prediction was class     17 with 99.428904% confidence

Model Confidence in true class 17:     99.428904%
Model prediction was class     17 with 99.428904% confidence

Reached max iterations, attack unsuccessful on image 11139.png

---------------Testing image 01197.png---------------
Prior Model Confidence in true class 9:     99.929368% (before attack)
Prior Model prediction was class     9 with 99.929368% confidence (before attack)

Model Confidence in true class 9:     99.733281%
Model prediction was class     9 with 99.733281% confidence

Model Confidence in true class 9:     99.733281%
Model prediction was class     9 with 99.733281% confidence

Model Confidence in true class 9:     99.733281%
Model prediction was class     9 with 99.733281% confidence

Model Confidence in true class 9:     99.733281%
Model prediction was class     9 with 99.733281% confidence

Model Confidence in true class 9:     99.658835%
Model prediction was class     9 with 99.658835% confidence

Model Confidence in true class 9:     99.658835%
Model prediction was class     9 with 99.658835% confidence

Model Confidence in true class 9:     99.658835%
Model prediction was class     9 with 99.658835% confidence

Model Confidence in true class 9:     99.658835%
Model prediction was class     9 with 99.658835% confidence

Model Confidence in true class 9:     99.630189%
Model prediction was class     9 with 99.630189% confidence

Model Confidence in true class 9:     99.630189%
Model prediction was class     9 with 99.630189% confidence

Model Confidence in true class 9:     99.570566%
Model prediction was class     9 with 99.570566% confidence

Model Confidence in true class 9:     99.570566%
Model prediction was class     9 with 99.570566% confidence

Model Confidence in true class 9:     99.570566%
Model prediction was class     9 with 99.570566% confidence

Model Confidence in true class 9:     99.514657%
Model prediction was class     9 with 99.514657% confidence

Model Confidence in true class 9:     99.514657%
Model prediction was class     9 with 99.514657% confidence

Model Confidence in true class 9:     99.514657%
Model prediction was class     9 with 99.514657% confidence

Model Confidence in true class 9:     99.514657%
Model prediction was class     9 with 99.514657% confidence

Model Confidence in true class 9:     99.514657%
Model prediction was class     9 with 99.514657% confidence

Model Confidence in true class 9:     99.514657%
Model prediction was class     9 with 99.514657% confidence

Model Confidence in true class 9:     99.514657%
Model prediction was class     9 with 99.514657% confidence

Reached max iterations, attack unsuccessful on image 01197.png

---------------Testing image 04387.png---------------
Prior Model Confidence in true class 1:     96.434617% (before attack)
Prior Model prediction was class     1 with 96.434617% confidence (before attack)

Model Confidence in true class 1:     80.004334%
Model prediction was class     1 with 80.004334% confidence

Model Confidence in true class 1:     80.004334%
Model prediction was class     1 with 80.004334% confidence

Model Confidence in true class 1:     80.004334%
Model prediction was class     1 with 80.004334% confidence

Model Confidence in true class 1:     78.578925%
Model prediction was class     1 with 78.578925% confidence

Model Confidence in true class 1:     73.520809%
Model prediction was class     1 with 73.520809% confidence

Model Confidence in true class 1:     73.520809%
Model prediction was class     1 with 73.520809% confidence

Model Confidence in true class 1:     73.520809%
Model prediction was class     1 with 73.520809% confidence

Model Confidence in true class 1:     73.520809%
Model prediction was class     1 with 73.520809% confidence

Model Confidence in true class 1:     65.242517%
Model prediction was class     1 with 65.242517% confidence

Model Confidence in true class 1:     55.770111%
Model prediction was class     1 with 55.770111% confidence

Model Confidence in true class 1:     55.770111%
Model prediction was class     1 with 55.770111% confidence

Model Confidence in true class 1:     55.770111%
Model prediction was class     1 with 55.770111% confidence

Model Confidence in true class 1:     54.409093%
Model prediction was class     1 with 54.409093% confidence

Model Confidence in true class 1:     54.409093%
Model prediction was class     1 with 54.409093% confidence

Model Confidence in true class 1:     54.409093%
Model prediction was class     1 with 54.409093% confidence

Model Confidence in true class 1:     54.409093%
Model prediction was class     1 with 54.409093% confidence

Model Confidence in true class 1:     54.409093%
Model prediction was class     1 with 54.409093% confidence

Model Confidence in true class 1:     54.409093%
Model prediction was class     1 with 54.409093% confidence

Model Confidence in true class 1:     54.409093%
Model prediction was class     1 with 54.409093% confidence

Model Confidence in true class 1:     47.924629%
Model prediction was class     1 with 47.924629% confidence

Reached max iterations, attack unsuccessful on image 04387.png

---------------Testing image 02091.png---------------
Prior Model Confidence in true class 28:     96.817333% (before attack)
Prior Model prediction was class     28 with 96.817333% confidence (before attack)

Model Confidence in true class 28:     59.588116%
Model prediction was class     28 with 59.588116% confidence

Model Confidence in true class 28:     48.573086%
Model prediction was class     28 with 48.573086% confidence

Model Confidence in true class 28:     48.573086%
Model prediction was class     28 with 48.573086% confidence

Model Confidence in true class 28:     44.078961%
Model prediction was class     28 with 44.078961% confidence

Model Confidence in true class 28:     44.078961%
Model prediction was class     28 with 44.078961% confidence

Model Confidence in true class 28:     44.078961%
Model prediction was class     28 with 44.078961% confidence

Model Confidence in true class 28:     44.078961%
Model prediction was class     28 with 44.078961% confidence

Model Confidence in true class 28:     44.078961%
Model prediction was class     28 with 44.078961% confidence

Model Confidence in true class 28:     38.093862%
Model prediction was class     28 with 38.093862% confidence

Model Confidence in true class 28:     38.093862%
Model prediction was class     28 with 38.093862% confidence

Model Confidence in true class 28:     38.093862%
Model prediction was class     28 with 38.093862% confidence

Model Confidence in true class 28:     34.308085%
Model prediction was class     28 with 34.308085% confidence

Model Confidence in true class 28:     34.308085%
Model prediction was class     28 with 34.308085% confidence

Model Confidence in true class 28:     34.308085%
Model prediction was class     28 with 34.308085% confidence

Model Confidence in true class 28:     29.716918%
Model prediction was class     11 with 54.342180% confidence

Success on image 02091.png

---------------Testing image 01350.png---------------
Prior Model Confidence in true class 5:     93.615729% (before attack)
Prior Model prediction was class     5 with 93.615729% confidence (before attack)

Model Confidence in true class 5:     77.105433%
Model prediction was class     5 with 77.105433% confidence

Model Confidence in true class 5:     77.105433%
Model prediction was class     5 with 77.105433% confidence

Model Confidence in true class 5:     77.105433%
Model prediction was class     5 with 77.105433% confidence

Model Confidence in true class 5:     70.520288%
Model prediction was class     5 with 70.520288% confidence

Model Confidence in true class 5:     70.520288%
Model prediction was class     5 with 70.520288% confidence

Model Confidence in true class 5:     70.520288%
Model prediction was class     5 with 70.520288% confidence

Model Confidence in true class 5:     70.520288%
Model prediction was class     5 with 70.520288% confidence

Model Confidence in true class 5:     70.520288%
Model prediction was class     5 with 70.520288% confidence

Model Confidence in true class 5:     70.520288%
Model prediction was class     5 with 70.520288% confidence

Model Confidence in true class 5:     70.520288%
Model prediction was class     5 with 70.520288% confidence

Model Confidence in true class 5:     70.520288%
Model prediction was class     5 with 70.520288% confidence

Model Confidence in true class 5:     70.520288%
Model prediction was class     5 with 70.520288% confidence

Model Confidence in true class 5:     70.520288%
Model prediction was class     5 with 70.520288% confidence

Model Confidence in true class 5:     70.520288%
Model prediction was class     5 with 70.520288% confidence

Model Confidence in true class 5:     67.607081%
Model prediction was class     5 with 67.607081% confidence

Model Confidence in true class 5:     67.607081%
Model prediction was class     5 with 67.607081% confidence

Model Confidence in true class 5:     65.309834%
Model prediction was class     5 with 65.309834% confidence

Model Confidence in true class 5:     65.309834%
Model prediction was class     5 with 65.309834% confidence

Model Confidence in true class 5:     65.309834%
Model prediction was class     5 with 65.309834% confidence

Model Confidence in true class 5:     53.941697%
Model prediction was class     5 with 53.941697% confidence

Reached max iterations, attack unsuccessful on image 01350.png

---------------Testing image 05061.png---------------
Prior Model Confidence in true class 13:     86.090451% (before attack)
Prior Model prediction was class     13 with 86.090451% confidence (before attack)

Model Confidence in true class 13:     50.036699%
Model prediction was class     13 with 50.036699% confidence

Model Confidence in true class 13:     35.865459%
Model prediction was class     13 with 35.865459% confidence

Model Confidence in true class 13:     35.865459%
Model prediction was class     13 with 35.865459% confidence

Model Confidence in true class 13:     35.865459%
Model prediction was class     13 with 35.865459% confidence

Model Confidence in true class 13:     34.820572%
Model prediction was class     13 with 34.820572% confidence

Model Confidence in true class 13:     34.820572%
Model prediction was class     13 with 34.820572% confidence

Model Confidence in true class 13:     29.660302%
Model prediction was class     12 with 31.236088% confidence

Success on image 05061.png

---------------Testing image 00415.png---------------
Prior Model Confidence in true class 10:     99.211407% (before attack)
Prior Model prediction was class     10 with 99.211407% confidence (before attack)

Model Confidence in true class 10:     98.664212%
Model prediction was class     10 with 98.664212% confidence

Model Confidence in true class 10:     98.664212%
Model prediction was class     10 with 98.664212% confidence

Model Confidence in true class 10:     98.664212%
Model prediction was class     10 with 98.664212% confidence

Model Confidence in true class 10:     98.664212%
Model prediction was class     10 with 98.664212% confidence

Model Confidence in true class 10:     98.664212%
Model prediction was class     10 with 98.664212% confidence

Model Confidence in true class 10:     98.616970%
Model prediction was class     10 with 98.616970% confidence

Model Confidence in true class 10:     98.616970%
Model prediction was class     10 with 98.616970% confidence

Model Confidence in true class 10:     98.616970%
Model prediction was class     10 with 98.616970% confidence

Model Confidence in true class 10:     98.252177%
Model prediction was class     10 with 98.252177% confidence

Model Confidence in true class 10:     98.252177%
Model prediction was class     10 with 98.252177% confidence

Model Confidence in true class 10:     98.252177%
Model prediction was class     10 with 98.252177% confidence

Model Confidence in true class 10:     98.252177%
Model prediction was class     10 with 98.252177% confidence

Model Confidence in true class 10:     98.252177%
Model prediction was class     10 with 98.252177% confidence

Model Confidence in true class 10:     98.252177%
Model prediction was class     10 with 98.252177% confidence

Model Confidence in true class 10:     98.252177%
Model prediction was class     10 with 98.252177% confidence

Model Confidence in true class 10:     97.940743%
Model prediction was class     10 with 97.940743% confidence

Model Confidence in true class 10:     97.940743%
Model prediction was class     10 with 97.940743% confidence

Model Confidence in true class 10:     97.940743%
Model prediction was class     10 with 97.940743% confidence

Model Confidence in true class 10:     97.940743%
Model prediction was class     10 with 97.940743% confidence

Model Confidence in true class 10:     97.940743%
Model prediction was class     10 with 97.940743% confidence

Reached max iterations, attack unsuccessful on image 00415.png

---------------Testing image 06400.png---------------
Prior Model Confidence in true class 25:     99.479902% (before attack)
Prior Model prediction was class     25 with 99.479902% confidence (before attack)

Model Confidence in true class 25:     97.851175%
Model prediction was class     25 with 97.851175% confidence

Model Confidence in true class 25:     97.851175%
Model prediction was class     25 with 97.851175% confidence

Model Confidence in true class 25:     97.851175%
Model prediction was class     25 with 97.851175% confidence

Model Confidence in true class 25:     97.851175%
Model prediction was class     25 with 97.851175% confidence

Model Confidence in true class 25:     97.851175%
Model prediction was class     25 with 97.851175% confidence

Model Confidence in true class 25:     97.851175%
Model prediction was class     25 with 97.851175% confidence

Model Confidence in true class 25:     97.412747%
Model prediction was class     25 with 97.412747% confidence

Model Confidence in true class 25:     94.591385%
Model prediction was class     25 with 94.591385% confidence

Model Confidence in true class 25:     94.591385%
Model prediction was class     25 with 94.591385% confidence

Model Confidence in true class 25:     94.591385%
Model prediction was class     25 with 94.591385% confidence

Model Confidence in true class 25:     94.591385%
Model prediction was class     25 with 94.591385% confidence

Model Confidence in true class 25:     94.223076%
Model prediction was class     25 with 94.223076% confidence

Model Confidence in true class 25:     94.223076%
Model prediction was class     25 with 94.223076% confidence

Model Confidence in true class 25:     94.223076%
Model prediction was class     25 with 94.223076% confidence

Model Confidence in true class 25:     94.223076%
Model prediction was class     25 with 94.223076% confidence

Model Confidence in true class 25:     94.223076%
Model prediction was class     25 with 94.223076% confidence

