-----Attacking Parameters:-----
Test folder:     /home/jonah/neuralnets/GTSRB_resnet/Test
Model prediction was class     38 with 97.784734% confidence

Reached max iterations, attack unsuccessful on image 03906.png

---------------Testing image 04938.png---------------
Prior Model Confidence in true class 10:     99.399054% (before attack)
Prior Model prediction was class     10 with 99.399054% confidence (before attack)

Model Confidence in true class 10:     77.318549%
Model prediction was class     10 with 77.318549% confidence

Model Confidence in true class 10:     77.318549%
Model prediction was class     10 with 77.318549% confidence

Model Confidence in true class 10:     77.318549%
Model prediction was class     10 with 77.318549% confidence

Model Confidence in true class 10:     77.318549%
Model prediction was class     10 with 77.318549% confidence

Model Confidence in true class 10:     77.318549%
Model prediction was class     10 with 77.318549% confidence

Model Confidence in true class 10:     77.318549%
Model prediction was class     10 with 77.318549% confidence

Model Confidence in true class 10:     74.408370%
Model prediction was class     10 with 74.408370% confidence

Model Confidence in true class 10:     74.408370%
Model prediction was class     10 with 74.408370% confidence

Model Confidence in true class 10:     74.408370%
Model prediction was class     10 with 74.408370% confidence

Model Confidence in true class 10:     74.408370%
Model prediction was class     10 with 74.408370% confidence

Model Confidence in true class 10:     74.408370%
Model prediction was class     10 with 74.408370% confidence

Model Confidence in true class 10:     74.408370%
Model prediction was class     10 with 74.408370% confidence

Model Confidence in true class 10:     65.935826%
Model prediction was class     10 with 65.935826% confidence

Model Confidence in true class 10:     58.600944%
Model prediction was class     10 with 58.600944% confidence

Model Confidence in true class 10:     58.600944%
Model prediction was class     10 with 58.600944% confidence

Model Confidence in true class 10:     58.600944%
Model prediction was class     10 with 58.600944% confidence

Model Confidence in true class 10:     50.552464%
Model prediction was class     10 with 50.552464% confidence

Model Confidence in true class 10:     50.552464%
Model prediction was class     10 with 50.552464% confidence

Model Confidence in true class 10:     25.130871%
Model prediction was class     5 with 39.767820% confidence

Success on image 04938.png

---------------Testing image 03971.png---------------
Prior Model Confidence in true class 34:     99.866772% (before attack)
Prior Model prediction was class     34 with 99.866772% confidence (before attack)

Model Confidence in true class 34:     99.646783%
Model prediction was class     34 with 99.646783% confidence

Model Confidence in true class 34:     99.614644%
Model prediction was class     34 with 99.614644% confidence

Model Confidence in true class 34:     99.538666%
Model prediction was class     34 with 99.538666% confidence

Model Confidence in true class 34:     99.481565%
Model prediction was class     34 with 99.481565% confidence

Model Confidence in true class 34:     99.481565%
Model prediction was class     34 with 99.481565% confidence

Model Confidence in true class 34:     99.415004%
Model prediction was class     34 with 99.415004% confidence

Model Confidence in true class 34:     99.415004%
Model prediction was class     34 with 99.415004% confidence

Model Confidence in true class 34:     99.415004%
Model prediction was class     34 with 99.415004% confidence

Model Confidence in true class 34:     99.415004%
Model prediction was class     34 with 99.415004% confidence

Model Confidence in true class 34:     99.415004%
Model prediction was class     34 with 99.415004% confidence

Model Confidence in true class 34:     99.415004%
Model prediction was class     34 with 99.415004% confidence

Model Confidence in true class 34:     99.395162%
Model prediction was class     34 with 99.395162% confidence

Model Confidence in true class 34:     99.395162%
Model prediction was class     34 with 99.395162% confidence

Model Confidence in true class 34:     99.395162%
Model prediction was class     34 with 99.395162% confidence

Model Confidence in true class 34:     99.395162%
Model prediction was class     34 with 99.395162% confidence

Model Confidence in true class 34:     99.389404%
Model prediction was class     34 with 99.389404% confidence

Model Confidence in true class 34:     99.299836%
Model prediction was class     34 with 99.299836% confidence

Model Confidence in true class 34:     99.299836%
Model prediction was class     34 with 99.299836% confidence

Model Confidence in true class 34:     99.299836%
Model prediction was class     34 with 99.299836% confidence

Model Confidence in true class 34:     99.258244%
Model prediction was class     34 with 99.258244% confidence

Reached max iterations, attack unsuccessful on image 03971.png

---------------Testing image 03359.png---------------
Prior Model Confidence in true class 16:     97.472543% (before attack)
Prior Model prediction was class     16 with 97.472543% confidence (before attack)

Model Confidence in true class 16:     95.648384%
Model prediction was class     16 with 95.648384% confidence

Model Confidence in true class 16:     95.648384%
Model prediction was class     16 with 95.648384% confidence

Model Confidence in true class 16:     95.648384%
Model prediction was class     16 with 95.648384% confidence

Model Confidence in true class 16:     95.642471%
Model prediction was class     16 with 95.642471% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Model Confidence in true class 16:     93.842357%
Model prediction was class     16 with 93.842357% confidence

Reached max iterations, attack unsuccessful on image 03359.png

---------------Testing image 02059.png---------------
Prior Model Confidence in true class 9:     99.982822% (before attack)
Prior Model prediction was class     9 with 99.982822% confidence (before attack)

Model Confidence in true class 9:     99.959570%
Model prediction was class     9 with 99.959570% confidence

Model Confidence in true class 9:     99.959570%
Model prediction was class     9 with 99.959570% confidence

Model Confidence in true class 9:     99.950933%
Model prediction was class     9 with 99.950933% confidence

Model Confidence in true class 9:     99.944156%
Model prediction was class     9 with 99.944156% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.928433%
Model prediction was class     9 with 99.928433% confidence

Model Confidence in true class 9:     99.916697%
Model prediction was class     9 with 99.916697% confidence

Model Confidence in true class 9:     99.916697%
Model prediction was class     9 with 99.916697% confidence

Model Confidence in true class 9:     99.916232%
Model prediction was class     9 with 99.916232% confidence

Reached max iterations, attack unsuccessful on image 02059.png

---------------Testing image 00171.png---------------
Prior Model Confidence in true class 38:     98.952603% (before attack)
Prior Model prediction was class     38 with 98.952603% confidence (before attack)

Model Confidence in true class 38:     93.229359%
Model prediction was class     38 with 93.229359% confidence

Model Confidence in true class 38:     93.229359%
Model prediction was class     38 with 93.229359% confidence

Model Confidence in true class 38:     93.229359%
Model prediction was class     38 with 93.229359% confidence

Model Confidence in true class 38:     93.229359%
Model prediction was class     38 with 93.229359% confidence

Model Confidence in true class 38:     93.229359%
Model prediction was class     38 with 93.229359% confidence

Model Confidence in true class 38:     93.119937%
Model prediction was class     38 with 93.119937% confidence

Model Confidence in true class 38:     88.521248%
Model prediction was class     38 with 88.521248% confidence

Model Confidence in true class 38:     88.521248%
Model prediction was class     38 with 88.521248% confidence

Model Confidence in true class 38:     88.521248%
Model prediction was class     38 with 88.521248% confidence

Model Confidence in true class 38:     88.521248%
Model prediction was class     38 with 88.521248% confidence

Model Confidence in true class 38:     88.521248%
Model prediction was class     38 with 88.521248% confidence

Model Confidence in true class 38:     88.521248%
Model prediction was class     38 with 88.521248% confidence

Model Confidence in true class 38:     88.521248%
Model prediction was class     38 with 88.521248% confidence

Model Confidence in true class 38:     88.521248%
Model prediction was class     38 with 88.521248% confidence

Model Confidence in true class 38:     78.642333%
Model prediction was class     38 with 78.642333% confidence

Model Confidence in true class 38:     78.642333%
Model prediction was class     38 with 78.642333% confidence

Model Confidence in true class 38:     71.507663%
Model prediction was class     38 with 71.507663% confidence

Model Confidence in true class 38:     71.507663%
Model prediction was class     38 with 71.507663% confidence

Model Confidence in true class 38:     71.507663%
Model prediction was class     38 with 71.507663% confidence

Model Confidence in true class 38:     71.507663%
Model prediction was class     38 with 71.507663% confidence

Reached max iterations, attack unsuccessful on image 00171.png

---------------Testing image 01536.png---------------
Prior Model Confidence in true class 38:     99.071968% (before attack)
Prior Model prediction was class     38 with 99.071968% confidence (before attack)

Model Confidence in true class 38:     95.137829%
Model prediction was class     38 with 95.137829% confidence

Model Confidence in true class 38:     91.680038%
Model prediction was class     38 with 91.680038% confidence

Model Confidence in true class 38:     91.680038%
Model prediction was class     38 with 91.680038% confidence

Model Confidence in true class 38:     91.425800%
Model prediction was class     38 with 91.425800% confidence

Model Confidence in true class 38:     87.363726%
Model prediction was class     38 with 87.363726% confidence

Model Confidence in true class 38:     87.363726%
Model prediction was class     38 with 87.363726% confidence

Model Confidence in true class 38:     87.363726%
Model prediction was class     38 with 87.363726% confidence

Model Confidence in true class 38:     87.363726%
Model prediction was class     38 with 87.363726% confidence

Model Confidence in true class 38:     87.363726%
Model prediction was class     38 with 87.363726% confidence

Model Confidence in true class 38:     87.363726%
Model prediction was class     38 with 87.363726% confidence

Model Confidence in true class 38:     87.363726%
Model prediction was class     38 with 87.363726% confidence

Model Confidence in true class 38:     87.363726%
Model prediction was class     38 with 87.363726% confidence

Model Confidence in true class 38:     87.363726%
Model prediction was class     38 with 87.363726% confidence

Model Confidence in true class 38:     87.363726%
Model prediction was class     38 with 87.363726% confidence

Model Confidence in true class 38:     85.340828%
Model prediction was class     38 with 85.340828% confidence

Model Confidence in true class 38:     85.340828%
Model prediction was class     38 with 85.340828% confidence

Model Confidence in true class 38:     85.340828%
Model prediction was class     38 with 85.340828% confidence

Model Confidence in true class 38:     85.340828%
Model prediction was class     38 with 85.340828% confidence

Model Confidence in true class 38:     75.217462%
Model prediction was class     38 with 75.217462% confidence

Model Confidence in true class 38:     75.217462%
Model prediction was class     38 with 75.217462% confidence

Reached max iterations, attack unsuccessful on image 01536.png

---------------Testing image 07897.png---------------
Prior Model Confidence in true class 25:     99.920148% (before attack)
Prior Model prediction was class     25 with 99.920148% confidence (before attack)

Model Confidence in true class 25:     99.904960%
Model prediction was class     25 with 99.904960% confidence

Model Confidence in true class 25:     99.904960%
Model prediction was class     25 with 99.904960% confidence

Model Confidence in true class 25:     99.904960%
Model prediction was class     25 with 99.904960% confidence

Model Confidence in true class 25:     99.904960%
Model prediction was class     25 with 99.904960% confidence

Model Confidence in true class 25:     99.904960%
Model prediction was class     25 with 99.904960% confidence

Model Confidence in true class 25:     99.901545%
Model prediction was class     25 with 99.901545% confidence

Model Confidence in true class 25:     99.901545%
Model prediction was class     25 with 99.901545% confidence

Model Confidence in true class 25:     99.901545%
Model prediction was class     25 with 99.901545% confidence

Model Confidence in true class 25:     99.901545%
Model prediction was class     25 with 99.901545% confidence

Model Confidence in true class 25:     99.901545%
Model prediction was class     25 with 99.901545% confidence

Model Confidence in true class 25:     99.901545%
Model prediction was class     25 with 99.901545% confidence

Model Confidence in true class 25:     99.901545%
Model prediction was class     25 with 99.901545% confidence

Model Confidence in true class 25:     99.901545%
Model prediction was class     25 with 99.901545% confidence

Model Confidence in true class 25:     99.900705%
Model prediction was class     25 with 99.900705% confidence

Model Confidence in true class 25:     99.899560%
Model prediction was class     25 with 99.899560% confidence

Model Confidence in true class 25:     99.899560%
Model prediction was class     25 with 99.899560% confidence

Model Confidence in true class 25:     99.899560%
Model prediction was class     25 with 99.899560% confidence

Model Confidence in true class 25:     99.899560%
Model prediction was class     25 with 99.899560% confidence

Model Confidence in true class 25:     99.898273%
Model prediction was class     25 with 99.898273% confidence

Model Confidence in true class 25:     99.898273%
Model prediction was class     25 with 99.898273% confidence

Reached max iterations, attack unsuccessful on image 07897.png

---------------Testing image 12281.png---------------
Prior Model Confidence in true class 13:     99.949908% (before attack)
Prior Model prediction was class     13 with 99.949908% confidence (before attack)

Model Confidence in true class 13:     99.790716%
Model prediction was class     13 with 99.790716% confidence

Model Confidence in true class 13:     99.753320%
Model prediction was class     13 with 99.753320% confidence

Model Confidence in true class 13:     99.471855%
Model prediction was class     13 with 99.471855% confidence

Model Confidence in true class 13:     99.471855%
Model prediction was class     13 with 99.471855% confidence

Model Confidence in true class 13:     99.471855%
Model prediction was class     13 with 99.471855% confidence

Model Confidence in true class 13:     99.471855%
Model prediction was class     13 with 99.471855% confidence

Model Confidence in true class 13:     99.295664%
Model prediction was class     13 with 99.295664% confidence

Model Confidence in true class 13:     99.295664%
Model prediction was class     13 with 99.295664% confidence

Model Confidence in true class 13:     99.295664%
Model prediction was class     13 with 99.295664% confidence

Model Confidence in true class 13:     99.230266%
Model prediction was class     13 with 99.230266% confidence

Model Confidence in true class 13:     99.230266%
Model prediction was class     13 with 99.230266% confidence

Model Confidence in true class 13:     99.230266%
Model prediction was class     13 with 99.230266% confidence

Model Confidence in true class 13:     99.114192%
Model prediction was class     13 with 99.114192% confidence

Model Confidence in true class 13:     98.860824%
Model prediction was class     13 with 98.860824% confidence

Model Confidence in true class 13:     98.199892%
Model prediction was class     13 with 98.199892% confidence

Model Confidence in true class 13:     98.199892%
Model prediction was class     13 with 98.199892% confidence

Model Confidence in true class 13:     98.199892%
Model prediction was class     13 with 98.199892% confidence

Model Confidence in true class 13:     98.199892%
Model prediction was class     13 with 98.199892% confidence

Model Confidence in true class 13:     98.199892%
Model prediction was class     13 with 98.199892% confidence

Model Confidence in true class 13:     98.199892%
Model prediction was class     13 with 98.199892% confidence

Reached max iterations, attack unsuccessful on image 12281.png

---------------Testing image 05330.png---------------
Prior Model Confidence in true class 2:     99.922132% (before attack)
Prior Model prediction was class     2 with 99.922132% confidence (before attack)

Model Confidence in true class 2:     99.684465%
Model prediction was class     2 with 99.684465% confidence

Model Confidence in true class 2:     99.649882%
Model prediction was class     2 with 99.649882% confidence

Model Confidence in true class 2:     99.649882%
Model prediction was class     2 with 99.649882% confidence

Model Confidence in true class 2:     99.466962%
Model prediction was class     2 with 99.466962% confidence

Model Confidence in true class 2:     99.466962%
Model prediction was class     2 with 99.466962% confidence

Model Confidence in true class 2:     99.466962%
Model prediction was class     2 with 99.466962% confidence

Model Confidence in true class 2:     99.466962%
Model prediction was class     2 with 99.466962% confidence

Model Confidence in true class 2:     99.466962%
Model prediction was class     2 with 99.466962% confidence

Model Confidence in true class 2:     99.328107%
Model prediction was class     2 with 99.328107% confidence

Model Confidence in true class 2:     99.328107%
Model prediction was class     2 with 99.328107% confidence

Model Confidence in true class 2:     99.328107%
Model prediction was class     2 with 99.328107% confidence

Model Confidence in true class 2:     99.269754%
Model prediction was class     2 with 99.269754% confidence

Model Confidence in true class 2:     99.269754%
Model prediction was class     2 with 99.269754% confidence

Model Confidence in true class 2:     99.250162%
Model prediction was class     2 with 99.250162% confidence

Model Confidence in true class 2:     99.250162%
Model prediction was class     2 with 99.250162% confidence

Model Confidence in true class 2:     99.209350%
Model prediction was class     2 with 99.209350% confidence

Model Confidence in true class 2:     98.811603%
Model prediction was class     2 with 98.811603% confidence

Model Confidence in true class 2:     98.811603%
Model prediction was class     2 with 98.811603% confidence

Model Confidence in true class 2:     98.811603%
Model prediction was class     2 with 98.811603% confidence

Model Confidence in true class 2:     95.767885%
Model prediction was class     2 with 95.767885% confidence

Reached max iterations, attack unsuccessful on image 05330.png

120 samples tested so far
---------------Testing image 01569.png---------------
Prior Model Confidence in true class 5:     91.773164% (before attack)
Prior Model prediction was class     5 with 91.773164% confidence (before attack)

Model Confidence in true class 5:     88.915259%
Model prediction was class     5 with 88.915259% confidence

Model Confidence in true class 5:     88.272798%
Model prediction was class     5 with 88.272798% confidence

Model Confidence in true class 5:     88.272798%
Model prediction was class     5 with 88.272798% confidence

Model Confidence in true class 5:     88.272798%
Model prediction was class     5 with 88.272798% confidence

Model Confidence in true class 5:     88.272798%
Model prediction was class     5 with 88.272798% confidence

Model Confidence in true class 5:     88.272798%
Model prediction was class     5 with 88.272798% confidence

Model Confidence in true class 5:     88.272798%
Model prediction was class     5 with 88.272798% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Model Confidence in true class 5:     87.366152%
Model prediction was class     5 with 87.366152% confidence

Reached max iterations, attack unsuccessful on image 01569.png

---------------Testing image 07749.png---------------
Prior Model Confidence in true class 7:     98.717296% (before attack)
Prior Model prediction was class     7 with 98.717296% confidence (before attack)

Model Confidence in true class 7:     93.985540%
Model prediction was class     7 with 93.985540% confidence

Model Confidence in true class 7:     93.985540%
Model prediction was class     7 with 93.985540% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     93.418819%
Model prediction was class     7 with 93.418819% confidence

Model Confidence in true class 7:     92.000902%
Model prediction was class     7 with 92.000902% confidence

Model Confidence in true class 7:     92.000902%
Model prediction was class     7 with 92.000902% confidence

Model Confidence in true class 7:     92.000902%
Model prediction was class     7 with 92.000902% confidence

Reached max iterations, attack unsuccessful on image 07749.png

---------------Testing image 11475.png---------------
Prior Model Confidence in true class 10:     99.854666% (before attack)
Prior Model prediction was class     10 with 99.854666% confidence (before attack)

Model Confidence in true class 10:     99.596512%
Model prediction was class     10 with 99.596512% confidence

Model Confidence in true class 10:     99.596512%
Model prediction was class     10 with 99.596512% confidence

Model Confidence in true class 10:     99.294019%
Model prediction was class     10 with 99.294019% confidence

Model Confidence in true class 10:     99.294019%
Model prediction was class     10 with 99.294019% confidence

Model Confidence in true class 10:     99.294019%
Model prediction was class     10 with 99.294019% confidence

Model Confidence in true class 10:     99.294019%
Model prediction was class     10 with 99.294019% confidence

Model Confidence in true class 10:     99.294019%
Model prediction was class     10 with 99.294019% confidence

Model Confidence in true class 10:     99.294019%
Model prediction was class     10 with 99.294019% confidence

Model Confidence in true class 10:     99.294019%
Model prediction was class     10 with 99.294019% confidence

Model Confidence in true class 10:     99.041218%
Model prediction was class     10 with 99.041218% confidence

Model Confidence in true class 10:     99.041218%
Model prediction was class     10 with 99.041218% confidence

Model Confidence in true class 10:     99.041218%
Model prediction was class     10 with 99.041218% confidence

Model Confidence in true class 10:     99.041218%
Model prediction was class     10 with 99.041218% confidence

Model Confidence in true class 10:     98.943824%
Model prediction was class     10 with 98.943824% confidence

Model Confidence in true class 10:     98.943824%
Model prediction was class     10 with 98.943824% confidence

Model Confidence in true class 10:     98.943824%
Model prediction was class     10 with 98.943824% confidence

Model Confidence in true class 10:     98.943824%
Model prediction was class     10 with 98.943824% confidence

Model Confidence in true class 10:     98.943824%
Model prediction was class     10 with 98.943824% confidence

Model Confidence in true class 10:     98.943824%
Model prediction was class     10 with 98.943824% confidence

Model Confidence in true class 10:     98.779339%
Model prediction was class     10 with 98.779339% confidence

Reached max iterations, attack unsuccessful on image 11475.png

---------------Testing image 09889.png---------------
Prior Model Confidence in true class 33:     99.763143% (before attack)
Prior Model prediction was class     33 with 99.763143% confidence (before attack)

Model Confidence in true class 33:     99.307489%
Model prediction was class     33 with 99.307489% confidence

Model Confidence in true class 33:     99.307489%
Model prediction was class     33 with 99.307489% confidence

Model Confidence in true class 33:     99.307489%
Model prediction was class     33 with 99.307489% confidence

Model Confidence in true class 33:     99.185926%
Model prediction was class     33 with 99.185926% confidence

Model Confidence in true class 33:     99.185926%
Model prediction was class     33 with 99.185926% confidence

Model Confidence in true class 33:     99.185926%
Model prediction was class     33 with 99.185926% confidence

Model Confidence in true class 33:     99.042398%
Model prediction was class     33 with 99.042398% confidence

Model Confidence in true class 33:     99.042398%
Model prediction was class     33 with 99.042398% confidence

Model Confidence in true class 33:     99.042398%
Model prediction was class     33 with 99.042398% confidence

Model Confidence in true class 33:     98.819888%
Model prediction was class     33 with 98.819888% confidence

Model Confidence in true class 33:     98.819888%
Model prediction was class     33 with 98.819888% confidence

Model Confidence in true class 33:     98.819888%
Model prediction was class     33 with 98.819888% confidence

Model Confidence in true class 33:     98.819888%
Model prediction was class     33 with 98.819888% confidence

Model Confidence in true class 33:     98.819888%
Model prediction was class     33 with 98.819888% confidence

Model Confidence in true class 33:     98.819888%
Model prediction was class     33 with 98.819888% confidence

Model Confidence in true class 33:     98.819888%
Model prediction was class     33 with 98.819888% confidence

Model Confidence in true class 33:     98.819888%
Model prediction was class     33 with 98.819888% confidence

Model Confidence in true class 33:     98.819888%
Model prediction was class     33 with 98.819888% confidence

Model Confidence in true class 33:     98.817003%
Model prediction was class     33 with 98.817003% confidence

Model Confidence in true class 33:     98.817003%
Model prediction was class     33 with 98.817003% confidence

Reached max iterations, attack unsuccessful on image 09889.png

---------------Testing image 05045.png---------------
Prior Model Confidence in true class 17:     99.667394% (before attack)
Prior Model prediction was class     17 with 99.667394% confidence (before attack)

Model Confidence in true class 17:     98.685282%
Model prediction was class     17 with 98.685282% confidence

Model Confidence in true class 17:     96.251798%
Model prediction was class     17 with 96.251798% confidence

Model Confidence in true class 17:     96.251798%
Model prediction was class     17 with 96.251798% confidence

Model Confidence in true class 17:     96.251798%
Model prediction was class     17 with 96.251798% confidence

Model Confidence in true class 17:     96.251798%
Model prediction was class     17 with 96.251798% confidence

Model Confidence in true class 17:     96.251798%
Model prediction was class     17 with 96.251798% confidence

Model Confidence in true class 17:     96.251798%
Model prediction was class     17 with 96.251798% confidence

Model Confidence in true class 17:     96.251798%
Model prediction was class     17 with 96.251798% confidence

Model Confidence in true class 17:     96.251798%
Model prediction was class     17 with 96.251798% confidence

Model Confidence in true class 17:     96.251798%
Model prediction was class     17 with 96.251798% confidence

Model Confidence in true class 17:     96.251798%
Model prediction was class     17 with 96.251798% confidence

Model Confidence in true class 17:     95.959449%
Model prediction was class     17 with 95.959449% confidence

Model Confidence in true class 17:     95.420969%
Model prediction was class     17 with 95.420969% confidence

Model Confidence in true class 17:     95.420969%
Model prediction was class     17 with 95.420969% confidence

Model Confidence in true class 17:     95.420969%
Model prediction was class     17 with 95.420969% confidence

Model Confidence in true class 17:     95.081758%
Model prediction was class     17 with 95.081758% confidence

Model Confidence in true class 17:     95.081758%
Model prediction was class     17 with 95.081758% confidence

Model Confidence in true class 17:     95.081758%
Model prediction was class     17 with 95.081758% confidence

Model Confidence in true class 17:     94.975573%
Model prediction was class     17 with 94.975573% confidence

Model Confidence in true class 17:     91.841739%
Model prediction was class     17 with 91.841739% confidence

Reached max iterations, attack unsuccessful on image 05045.png

---------------Testing image 05918.png---------------
Prior Model Confidence in true class 15:     98.570526% (before attack)
Prior Model prediction was class     15 with 98.570526% confidence (before attack)

Model Confidence in true class 15:     95.438379%
Model prediction was class     15 with 95.438379% confidence

Model Confidence in true class 15:     95.194197%
Model prediction was class     15 with 95.194197% confidence

Model Confidence in true class 15:     94.267529%
Model prediction was class     15 with 94.267529% confidence

Model Confidence in true class 15:     89.728570%
Model prediction was class     15 with 89.728570% confidence

Model Confidence in true class 15:     89.728570%
Model prediction was class     15 with 89.728570% confidence

Model Confidence in true class 15:     89.728570%
Model prediction was class     15 with 89.728570% confidence

Model Confidence in true class 15:     89.728570%
Model prediction was class     15 with 89.728570% confidence

Model Confidence in true class 15:     89.728570%
Model prediction was class     15 with 89.728570% confidence

Model Confidence in true class 15:     88.756788%
Model prediction was class     15 with 88.756788% confidence

Model Confidence in true class 15:     88.756788%
Model prediction was class     15 with 88.756788% confidence

Model Confidence in true class 15:     88.756788%
Model prediction was class     15 with 88.756788% confidence

Model Confidence in true class 15:     88.756788%
Model prediction was class     15 with 88.756788% confidence

Model Confidence in true class 15:     87.289596%
Model prediction was class     15 with 87.289596% confidence

Model Confidence in true class 15:     87.289596%
Model prediction was class     15 with 87.289596% confidence

Model Confidence in true class 15:     87.289596%
Model prediction was class     15 with 87.289596% confidence

Model Confidence in true class 15:     81.298882%
Model prediction was class     15 with 81.298882% confidence

Model Confidence in true class 15:     81.298882%
Model prediction was class     15 with 81.298882% confidence

Model Confidence in true class 15:     81.298882%
Model prediction was class     15 with 81.298882% confidence

Model Confidence in true class 15:     79.624593%
Model prediction was class     15 with 79.624593% confidence

Model Confidence in true class 15:     79.624593%
Model prediction was class     15 with 79.624593% confidence

Reached max iterations, attack unsuccessful on image 05918.png

---------------Testing image 09148.png---------------
Prior Model Confidence in true class 25:     99.998462% (before attack)
Prior Model prediction was class     25 with 99.998462% confidence (before attack)

Model Confidence in true class 25:     99.992394%
Model prediction was class     25 with 99.992394% confidence

Model Confidence in true class 25:     99.992394%
Model prediction was class     25 with 99.992394% confidence

Model Confidence in true class 25:     99.992394%
